"model"	"type_id"	"id"	"kategorie"	"rodina"	"typ"	"t_aed_klasifikace"	"t_aed_system"	"t_oznaceni_typu"	"t_popis"
TERN_1201_DSP_D11_SO01_ASR	"5006217"	"5006654"	Instalační zařizovací předměty	Výlevka závěsná	Výleka závěsná	NEVYKAZOVAT			Výlevka závěsná keramická
TERN_1201_DSP_D141_SO01_ZTI	"2328370"	"2363556"	Instalační zařizovací předměty	Výlevka_předstěnový instalační systém_vodovod_zadní připojení	Výlevka_předstěnový instalační systém_vodovod_zadní připojení	TRBK	SK	VL	Výlevka Duravit kat.č. 0050011000_Předstěnový instalační systém_nástěnná baterie, Zuna, 150 mm, s ramínkem plochým rovným 250 mm, chrom
TERN_1201_DSP_D144_SO01_ESI	"1805730"	"7169287"	Elektrická tělesa	Vývod 230V	Vývod 230V	KABK	SIL		Vývod
TERN_1201_DSP_D144_SO01_ESI	"7203344"	"7203347"	Elektrická tělesa	Vývod 230V	Vývod 230V OSV	KABK	SIL		Vývod
TERN_1201_DSP_D144_SO01_ESI	"7167603"	"7167606"	Elektrická tělesa	Vývod 230V	Vývod 230V turniket	KABK	SIL		Vývod
TERN_1201_DSP_D144_SO01_ESI	"6092900"	"7171941"	Elektrická tělesa	Vývod 230V	Vývod 230V VZT	KABK	SIL		Vývod
TERN_1201_DSP_D144_SO01_ESI	"2702985"	"7170173"	Elektrická tělesa	Vývod 230V	Vývod 230V Žaluzie	KABK	SIL		Vývod
TERN_1201_DSP_D144_SO01_ESI	"5534145"	"7169230"	Elektrická tělesa	Vývod 400V	Vývod 400V	KABK	SIL		Vývod
TERN_1201_DSP_D144_SO01_ESI	"7162782"	"7162765"	Elektrická tělesa	Vývod 400V	Vývod 400V čerpadlo	KABK	SIL		Vývod
TERN_1201_DSP_D144_SO01_ESI	"6092384"	"7169473"	Elektrická tělesa	Vývod 400V	Vývod 400V Vrata	KABK	SIL		Vývod
TERN_1201_DSP_D144_SO01_ESI	"5533247"	"7162629"	Elektrická tělesa	Vývod 400V	Vývod 400V Výtah	KABK	SIL		Vývod
TERN_1201_DSP_D144_SO01_ESI	"6092529"	"7172274"	Elektrická tělesa	Vývod 400V	Vývod 400V VZT	KABK	SIL		Vývod
TERN_1201_DSP_D144_SO01_ESI	"7191953"	"7174792"	Elektrická tělesa	Vývod DATA	Vývod DATA				Vývod
TERN_1201_DSP_D11_SO01_ASR	"4011056"	"4011072"	Instalační zařizovací předměty	WC závěsné	WC závěsné	NEVYKAZOVAT			
TERN_1201_DSP_D141_SO01_ZTI	"1651783"	"2292730"	Instalační zařizovací předměty	WC_předstěnový instalační systém_vodovod_horní připojení	WC_předstěnový instalační systém_vodovod_horní připojení	TRBK	SK	WC	Předstěnový instalační systém
TERN_1201_DSP_D11_SO01_FAC	"3697114"	"3696755"	Zábradlí	Zábradlí	Glass_Panel_TERRACE	PS	SOUC		Prosklené zábradlí
TERN_1201_DSP_D11_SO01_ASR	"5577859"	"5577597"	Zábradlí	Zábradlí	Madlo střecha	TZKO	ZV		
TERN_1201_DSP_D11_SO01_ASR	"3960450"	"4565946"	Zábradlí	Zábradlí	Madlo, v. 900 mm	TZKO	ZV		
TERN_1201_DSP_D11_SO01_ASR	"25223"	"4604980"	Zábradlí	Zábradlí	Zábradlí ocelové, svislé sloupky, dřevěné madlo, v.1000 mm	TZKO	ZV		
TERN_1201_DSP_D11_SO01_ASR	"5233819"	"4059363"	Stěny	Základní stěna	"1_Beton_zdivo_100"	STI	PT		Zdivo z betonových tvárnic tl. 100 mm
TERN_1201_DSP_D11_SO01_ASR	"4433902"	"4059151"	Stěny	Základní stěna	"1_Beton_zdivo_150"	STI	BZ		Zdivo z betonových tvárnic tl. 150 mm
TERN_1201_DSP_D11_SO01_ASR	"4433910"	"4212907"	Stěny	Základní stěna	"1_Beton_zdivo_200"	STI	PT		Zdivo z betonových tvárnic tl. 200 mm
TERN_1201_DSP_D11_SO01_ASR	"3960059"	"4060086"	Stěny	Základní stěna	"2_SDK_100"	PDI	SKLADBA		Sádrokartonová příčka tl. 100 mm
TERN_1201_DSP_D11_SO01_ASR	"3972197"	"4121226"	Stěny	Základní stěna	"2_SDK_150"	STI	SKLADBA		Sádrokartonová příčka tl. 150 mm
TERN_1201_DSP_D11_SO01_ASR	"4015133"	"4021452"	Stěny	Základní stěna	"2_SDK_200"	STI	SKLADBA		Sádrokartonová příčka tl. 200 mm
TERN_1201_DSP_D11_SO01_ASR	"4059483"	"4064709"	Stěny	Základní stěna	"2_SDK_250"	STI	SKLADBA		Sádrokartonová příčka tl. 250 mm
TERN_1201_DSP_D11_SO01_ASR	"5652442"	"5652743"	Stěny	Základní stěna	"2_SDK_50 - předstěna"	STI	SKLADBA		Sádrokartonová příčka tl. 250 mm
TERN_1201_DSP_D11_SO01_ASR	"5729102"	"5729020"	Stěny	Základní stěna	"3_250_XPS"	STE	SKLADBA		Extrudovaný polystyren tl. 80 mm
TERN_1201_DSP_D11_SO01_ASR	"5359384"	"5359487"	Stěny	Základní stěna	"3_80_EPS"	STE	SKLADBA		Expandovaný polystyren tl. 80 mm
TERN_1201_DSP_D11_SO01_ASR	"5622846"	"5622848"	Stěny	Základní stěna	"3_80_XPS"	STE	SKLADBA		Extrudovaný polystyren tl. 80 mm
TERN_1201_DSP_D11_SO01_ASR	"5358669"	"5358630"	Stěny	Základní stěna	"3_KZS_160_EPS"	STE	SKLADBA		Kontaktní zateplovací systém tl. 160 mm, expandovaný polystyren
TERN_1201_DSP_D11_SO01_ASR	"4905273"	"4905556"	Stěny	Základní stěna	"3_minerální_vata_140"	PDE	SKLADBA		Kontaktní zateplovací systém tl. 140 mm, minerální vata
TERN_1201_DSP_D11_SO01_ASR	"5586039"	"5585765"	Stěny	Základní stěna	"4_Zámečnická stěna_100"	TZKO	ZV		Zámečnická stěna tl. 100 mm
TERN_1201_DSP_D11_SO01_ASR	"5614867"	"4097145"	Stěny	Základní stěna	"5_Prosklena_pricka_150"	STI	BZ		Prosklená příčka tl. 150 mm
TERN_1201_DSP_D11_SO01_FAC	"4049153"	"3687819"	Stěny	Základní stěna	BA_EXT_100 MIN I. + PLASTER_Shadowgap	STE	SKLADBA		Fasádní zateplovací systém 100 mm + plech
TERN_1201_DSP_D11_SO01_FAC	"3330431"	"3332498"	Stěny	Základní stěna	BA_EXT_200 MIN I. + PLASTER	STE	SKLADBA	"09"	Fasádní zateplovací systém 200 mm + ext. omítka
TERN_1201_DSP_D11_SO01_FAC	"4145803"	"3331915"	Stěny	Základní stěna	BA_EXT_200 MIN I. + PLASTER_DARK	STE	SKLADBA	"09"	Fasádní zateplovací systém 200 mm + ext. omítka
TERN_1201_DSP_D11_SO01_FAC	"3841316"	"3738576"	Stěny	Základní stěna	BA_EXT_200 MIN I. + Zastena	STE	SKLADBA		Fasádní zateplovací systém 200 mm + kovový perforovaný panel na roštu
TERN_1201_DSP_D11_SO01_FAC	"4066379"	"3738486"	Stěny	Základní stěna	BA_EXT_250 MIN I. + Zastena	STE	SKLADBA		Fasádní zateplovací systém 225 mm + kovový perforovaný panel na roštu
TERN_1201_DSP_D11_SO01_FAC	"3688897"	"3333166"	Stěny	Základní stěna	BA_EXT_290 MIN I. + PLASTER	STE	SKLADBA	"09"	Fasádní zateplovací systém 265 mm + ext. omítka
TERN_1201_DSP_D11_SO01_FAC	"3893802"	"3894370"	Stěny	Základní stěna	BA_EXT_440 MIN I. + PLASTER_terrace corner	STE	SKLADBA		Fasádní zateplovací systém 200 mm
