"model"	"id"	"type_id"	"kategorie"	"rodina"	"typ"	"aed_klasifikace"
TERN_1201_DSP_D143_SO01_VZT	"1461600"	"1342262"	Tvarovky potrubí	Hranaté_Přechod.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1460217"	"1342259"	Tvarovky potrubí	Hranaté_Odbočka.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1460276"	"1342259"	Tvarovky potrubí	Hranaté_Odbočka.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1460333"	"1342259"	Tvarovky potrubí	Hranaté_Odbočka.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1460392"	"1342259"	Tvarovky potrubí	Hranaté_Odbočka.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1461609"	"1342259"	Tvarovky potrubí	Hranaté_Odbočka.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1461611"	"1342259"	Tvarovky potrubí	Hranaté_Odbočka.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1461613"	"1342259"	Tvarovky potrubí	Hranaté_Odbočka.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1461615"	"1342259"	Tvarovky potrubí	Hranaté_Odbočka.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1460436"	"1342256"	Tvarovky potrubí	Hranaté_Oblouk.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1461617"	"1342256"	Tvarovky potrubí	Hranaté_Oblouk.CC	Pozink	
TERN_1201_DSP_D143_SO01_VZT	"1461860"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461880"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461910"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461937"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461959"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1461990"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1462132"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
